spotify_id,name,artists,album_name,duration_ms,album_release_date
0CFhbNsY7CsuSkBQOiLPzz,Or What,"NLE Choppa, 41, Kyle Richh",SLUT SZN,199165,2024-09-27
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,Zach Bryan,American Heartbreak,163031,2022-05-20
3nQ24dxqvxZEVwlHTeuLz0,Sympathy is a knife featuring ariana grande,"Charli xcx, Ariana Grande",Brat and it’s completely different but also still brat,154126,2024-10-11
32dPiJIrbKTUEPaELjxbgQ,Tanpa Bicara,Rizwan Fadilah,Tanpa Bicara,212205,2024-07-25
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,172533,2024-05-10
3WSOUb3U7tqURbBSgZTrZX,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,232796,2023-09-22
3GdN5n6p34yFMd12WKq8jL,Penyangkalan,For Revenge,Penyangkalan,240607,2024-07-16
1xmvq1fYLs9TEgikaFilGW,Thick Of It (feat. Trippie Redd),"KSI, Trippie Redd",Thick Of It (feat. Trippie Redd) / Low,160842,2024-10-03
66L6oBm77vpXuLCRX31iNX,Tak Dianggap,Lyodra,Melangkah,179841,2024-10-10
41OYCdZjfncCUWhcLzLAGo,Masa Sepi,Bernadya,Masa Sepi,213750,2023-03-03
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,177387,2023-03-03
4l4OfcR9UPPT06BINAxbiA,I might say something stupid featuring the 1975 & jon hopkins,"Charli xcx, The 1975, Jon Hopkins",Brat and it’s completely different but also still brat,250603,2024-10-11
7CwWhMGWICOl2ICwbk3QTE,Talk talk featuring troye sivan,"Charli xcx, Troye Sivan",Brat and it’s completely different but also still brat,173076,2024-10-11
5QjmUqgpPQgXgg4606DqZF,UWAIE,Kapo,UWAIE,172427,2024-08-15
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,we fell in love in october / October Passed Me By,184153,2018-11-21
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,Tate McRae,It's ok I'm ok,156521,2024-09-12
4SW9fIXaX6OxJhm9gspkDG,Tapi Tahukah Kamu?,"Dygta, Kamasean",Tapi Tahukah Kamu?,251600,2023-09-01
0wRXRWyFNE99paoKAUeA5s,Tak Selalu Memiliki - Ipar Adalah Maut Original Soundtrack,Lyodra,Tak Selalu Memiliki (Ipar Adalah Maut Original Soundtrack),260571,2024-04-25
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,I Love You So,160239,2014-11-28
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,No Strings Attached,200400,2000-03-21
